NCBI Protein ID	UniProt_ID
NP_005800.3	P32119
NP_005829.3	Q6IB77
NP_964011.2	Q6IB77
NP_001116429.1	O14874
NP_001258855.1	O14874
NP_005872.2	O14874
NP_005882.2	Q9BWD1
NP_005896.1	O15198
NP_001186040.1	P40925
NP_001186041.1	P40925
NP_005908.1	P40925
NP_005909.2	P40926
NP_001068566.1	Q9NZB8
NP_005934.2	Q9NZB8
NP_001177835.1	P51857
NP_001177836.1	P51857
NP_005980.1	P51857
NP_005987.3	O15119
NP_006010.2	Q13488
NP_006044.1	Q13488
NP_001184110.1	Q13509
NP_006077.2	Q13509
NP_001032626.1	O14832
NP_006205.1	O14832
NP_001186904.1	P14927
NP_001241681.1	P14927
NP_006285.1	P14927
NP_001139630.1	Q13724
NP_006293.2	Q13724
NP_006374.1	O75838
NP_001091990.1	Q9BUP3
NP_001091991.1	Q9BUP3
NP_001091992.1	Q9BUP3
NP_001091993.1	Q9BUP3
NP_006401.3	Q9BUP3
NP_006423.1	P61916
NP_006431.2	Q9NNW7
NP_001186687.1	P49914
NP_006432.1	P49914
NP_001072992.1	P22234
NP_001072993.1	P22234
NP_006443.1	P22234
NP_006539.3	Q9Y6M1
NP_006545.1	O75431
NP_006567.3	O75366
NP_006627.2	P13995
NP_001014811.1	Q16798
NP_001155058.1	Q16798
NP_006671.2	Q16798
NP_006722.2	O75072
NP_006784.1	P30048
NP_006812.3	P49753
NP_001265519.1	O43766
NP_001265520.1	O43766
NP_001265521.1	O43766
NP_006850.2	O43766
NP_919433.1	O43766
NP_001161078.1	Q15286
NP_006852.1	Q15286
NP_008834.3	Q9H2U2
NP_789842.2	Q9H2U2
NP_789843.2	Q9H2U2
NP_789845.1	Q9H2U2
NP_008838.2	P32322
NP_722546.1	P32322
XP_005256438.1	P32322
NP_008872.1	P56693
NP_008927.1	O60779
NP_009006.2	Q9Y484
NP_009014.2	P53370
NP_932158.1	P53370
NP_001128179.1	Q9UL12
NP_009032.2	Q9UL12
NP_001159574.1	P49821
NP_009034.2	P49821
NP_009054.5	O75445
NP_996816.2	O75445
NP_009119.2	Q9NUT2
NP_001171899.1	Q9UNF0
NP_001171900.1	Q9UNF0
NP_009160.2	Q9UNF0
NP_009169.3	Q9Y6I8
NP_899634.1	Q9Y6I8
NP_009185.2	Q96T60
NP_015557.2	P49768
NP_001257817.1	Q9UBX3
NP_001257882.1	Q9UBX3
NP_036272.2	Q9UBX3
NP_001158503.1	P23919
NP_036277.2	P23919
NP_036313.3	Q14318
NP_036335.1	Q9UBQ7
NP_001265660.1	P49590
NP_001265661.1	P49590
NP_036340.1	P49590
NP_036345.2	O95822
NP_001041636.1	Q9UIF7
NP_001041637.1	Q9UIF7
NP_001041638.1	Q9UIF7
NP_001041639.1	Q9UIF7
NP_001121897.1	Q9UIF7
NP_036354.1	Q9UIF7
NP_036450.1	O95202
NP_001129142.1	Q9UJ68
NP_001129143.1	Q9UJ68
NP_001186658.1	Q9UJ68
NP_036463.1	Q9UJ68
NP_037379.1	O43464
NP_659540.1	O43464
NP_001267727.1	Q9UI32
NP_037399.2	Q9UI32
NP_037518.3	Q6NUK1
NP_998816.1	Q6NUK1
NP_001003684.1	Q9UDW1
NP_037519.2	Q9UDW1
NP_037523.2	Q9UI17
NP_038470.1	Q9UJZ1
NP_000808.2	Q99259
NP_038473.2	Q99259
NP_054706.1	P18206
NP_001093138.1	Q9Y241
NP_001093139.1	Q9Y241
NP_054775.2	Q9Y241
NP_055006.1	Q9UQD0
NP_055051.1	O15228
NP_055091.2	Q9UBG7
NP_001165161.1	O75600
NP_055106.1	O75600
XP_005261467.1	O75600
NP_055116.1	Q9H1K1
NP_998760.1	Q9H1K1
NP_055132.2	Q5T2R2
NP_055151.3	Q9NZN9
NP_055153.1	Q9UG56
NP_001258570.1	Q9NZJ7
NP_055156.1	Q9NZJ7
NP_055199.1	Q9UKU7
NP_055239.1	Q9UBY9
NP_055322.1	Q8IVS2
NP_775738.3	Q8IVS2
NP_055324.2	Q9H4I8
NP_001171940.1	Q6IBW4
NP_055366.3	Q6IBW4
NP_689512.2	Q6IBW4
NP_001239306.1	Q8TCD5
NP_055410.1	Q8TCD5
NP_055495.2	Q14667
NP_055538.2	O15079
NP_055577.1	Q15392
NP_001121132.1	O95140
NP_055689.1	O95140
NP_001243239.1	O94925
NP_055720.3	O94925
NP_001242982.1	Q9UPS8
NP_055730.2	Q9UPS8
NP_001129665.1	Q9NYY8
NP_001129666.1	Q9NYY8
NP_055744.2	Q9NYY8
NP_055781.2	Q7L2E3
NP_619520.1	Q7L2E3
XP_011531796.1	Q7L2E3
XP_011531797.1	Q7L2E3
NP_055889.2	O60333
NP_904325.2	O60333
NP_055899.2	Q92552
NP_055975.1	Q10713
NP_001166950.1	O43307
NP_056000.1	O43307
NP_056099.3	Q5T011
NP_001265855.1	Q96BP3
NP_001265856.1	Q96BP3
NP_001265858.1	Q96BP3
NP_056157.1	Q96BP3
NP_056219.3	Q9P202
NP_001230618.1	Q6P1Q0
NP_056231.3	Q6P1Q0
NP_001229696.1	Q6UB35
NP_001229697.1	Q6UB35
NP_001229698.1	Q6UB35
NP_056255.2	Q6UB35
NP_056289.2	Q9Y3Z3
XP_005260441.1	Q9Y3Z3
NP_001070867.1	Q8N490
NP_056303.3	Q8N490
NP_072094.1	Q8N490
NP_056338.2	Q9Y3B8
NP_056494.1	O95900
NP_001002755.1	Q9UMS0
NP_001002756.1	Q9UMS0
NP_056515.2	Q9UMS0
NP_001165948.1	Q7LG56
NP_001165949.1	Q7LG56
NP_056528.2	Q7LG56
NP_056651.1	Q9UGM6
NP_957715.1	Q9UGM6
NP_056958.3	Q06330
NP_056985.3	Q86X67
NP_056991.2	P28838
NP_001137151.1	Q9Y2Q3
NP_001137152.1	Q9Y2Q3
NP_001137153.1	Q9Y2Q3
NP_057001.1	Q9Y2Q3
NP_057026.3	Q96E29
NP_057049.5	Q9P0J0
NP_001137252.1	Q9BZJ4
NP_057100.1	Q9BZJ4
NP_057119.2	Q9Y3A0
NP_057126.2	Q9NQT5
NP_057139.1	Q96GC5
NP_057147.2	Q7Z4H3
NP_057149.1	Q9Y3D3
NP_001230328.1	Q9NS18
NP_057150.2	Q9NS18
NP_932066.1	Q9NS18
NP_057238.3	P61018
NP_057323.3	Q9UKN7
NP_057376.2	Q12931
NP_057395.1	Q9UII2
NP_835497.1	Q9UII2
NP_835498.1	Q9UII2
NP_057446.1	Q9UBU3
NP_057611.1	Q9NYQ3
NP_057649.2	Q9NYJ1
NP_001135936.1	Q9BQ95
NP_001135937.1	Q9BQ95
NP_001230133.1	Q9BQ95
NP_057665.2	Q9BQ95
NP_057696.2	Q9NYZ2
NP_002533.1	O15527
NP_058212.1	O15527
NP_058213.1	O15527
NP_058214.1	O15527
NP_058434.1	O15527
NP_058436.1	O15527
NP_058437.1	O15527
NP_058438.1	O15527
NP_001116538.2	P10636
NP_001116539.1	P10636
NP_001190181.1	P10636
NP_005901.2	P10636
NP_058518.1	P10636
NP_058519.3	P10636
NP_058525.1	P10636
NP_058651.3	Q9HD40
NP_059129.3	Q8NEV4
NP_059142.2	Q9NYK5
NP_542984.2	Q9NYK5
NP_060017.1	Q96CU9
NP_060116.2	Q9H3H1
NP_060244.2	Q5VV42
NP_001139373.1	Q9NP81
NP_060297.1	Q9NP81
NP_001035703.1	Q9BUB7
NP_060336.3	Q9BUB7
NP_060352.1	Q9NWW5
NP_001258866.1	Q9NWS8
NP_060379.2	Q9NWS8
XP_005267097.1	Q9NWS8
NP_060422.4	Q96EY7
NP_001180442.1	Q6NXT4
NP_001180443.1	Q6NXT4
NP_001180444.1	Q6NXT4
NP_060434.2	Q6NXT4
NP_060441.2	Q9BYC9
NP_060460.4	Q8NCN5
XP_005256072.1	Q8NCN5
XP_005256073.1	Q8NCN5
NP_060476.2	O75648
NP_001229437.1	Q9BXW6
NP_060500.3	Q9BXW6
NP_542164.2	Q9BXW6
NP_060546.2	Q5T2S8
NP_060552.4	Q9NW08
NP_060579.3	Q9NVV4
NP_060586.2	Q9BUK6
NP_060590.1	Q9NVT9
NP_001159434.1	Q9BQ52
NP_060597.4	Q9BQ52
NP_776065.1	Q9BQ52
NP_060599.1	Q9NVS9
XP_011523270.1	Q9NVS9
NP_060601.3	Q53EZ4
NP_001098117.1	Q96CQ1
NP_060625.2	Q96CQ1
NP_001164006.1	Q9NVI7
NP_001164007.1	Q9NVI7
NP_060658.3	Q9NVI7
NP_060663.2	Q9NVI1
NP_001171726.1	Q9NVH6
NP_060666.1	Q9NVH6
NP_060668.2	Q9NVH1
NP_060708.1	Q53H12
NP_060743.2	Q96AN5
NP_060762.3	Q9H0R6
NP_001167569.1	Q9BZD2
NP_060814.4	Q9BZD2
NP_060816.1	Q9HA92
NP_060838.3	Q9NUN5
NP_001138737.1	Q96A29
NP_001138738.1	Q96A29
NP_060859.4	Q96A29
NP_001258998.1	Q9NUJ1
NP_060864.1	Q9NUJ1
NP_060888.2	Q9P0W8
NP_001155251.1	Q9P0J1
NP_001155252.1	Q9P0J1
NP_001155253.1	Q9P0J1
NP_060914.2	Q9P0J1
NP_001002030.1	Q9NTX5
NP_001099014.1	Q9NTX5
NP_001099015.1	Q9NTX5
NP_001132982.1	Q9NTX5
NP_060949.2	Q9NTX5
XP_005267104.1	Q9NTX5
XP_005267105.1	Q9NTX5
XP_005267107.1	Q9NTX5
NP_001032728.1	Q9H300
NP_061092.3	Q9H300
NP_061846.2	Q9P2X0
NP_714963.1	Q9P2X0
NP_001107656.1	Q9UGC7
NP_061914.3	Q9UGC7
NP_061924.1	Q8N5N7
NP_061982.3	Q9BT22
NP_001265231.1	Q9NR28
NP_001265232.1	Q9NR28
NP_001265233.1	Q9NR28
NP_001265271.1	Q9NR28
NP_063940.1	Q9NR28
NP_620308.1	Q9NR28
NP_064502.9	Q9P2J5
NP_064576.1	P82650
NP_001277221.1	Q9NRG7
NP_064580.2	Q9NRG7
NP_064629.2	Q8WUD6
NP_064632.2	Q8NI60
XP_005273258.1	Q8NI60
NP_064708.1	O75208
NP_064709.2	Q6FI81
NP_065099.3	Q96KN7
NP_065109.1	Q96AD5
NP_065114.3	Q86YH6
NP_065186.3	Q9P241
NP_001136401.1	P28329
NP_001136405.1	P28329
NP_001136406.1	P28329
NP_065574.3	P28329
NP_066264.3	P28329
NP_066265.3	P28329
NP_066266.3	P28329
NP_065733.2	Q9HBK9
NP_065756.1	Q9ULP9
NP_065817.2	Q8TAB3
NP_001019389.1	Q9NQX3
NP_065857.1	Q9NQX3
NP_065870.3	Q9P2D6
NP_065873.2	Q5JUK3
NP_065894.2	Q9BY12
NP_066124.1	P07949
NP_066284.2	Q9BTZ2
NP_066287.2	Q99250
NP_066950.1	Q13794
NP_066956.1	Q05823
NP_001137407.1	Q9UKG9
NP_066974.2	Q9UKG9
NP_001119593.1	Q9HC21
NP_001119594.1	Q9HC21
NP_068380.3	Q9HC21
NP_068597.2	Q9GZT6
XP_005274216.1	Q9GZT6
NP_001157284.1	Q96RR1
NP_068602.2	Q96RR1
NP_068756.2	P57772
NP_068758.3	Q96AY3
NP_037466.2	Q9Y5P6
NP_068806.1	Q9Y5P6
NP_071381.1	Q9NQH7
NP_071397.3	Q9HAZ2
NP_071407.4	Q9H251
NP_071415.1	Q9HCC0
XP_005248624.1	Q9HCC0
NP_000911.2	P11498
NP_001035806.1	P11498
NP_071504.2	P11498
XP_005274088.1	P11498
XP_005274089.1	P11498
NP_071731.1	Q9UNE0
NP_071748.2	Q9H4B0
XP_005246823.1	Q9H4B0
NP_001035947.1	Q9H3S4
NP_071890.2	Q9H3S4
XP_005250027.1	Q9H3S4
NP_071942.1	P82663
NP_073603.2	Q8TCT0
NP_003347.1	P55916
NP_073714.1	P55916
NP_001245301.1	Q8TB22
NP_001245302.1	Q8TB22
NP_073738.2	Q8TB22
NP_004449.1	O60488
NP_075266.1	O60488
NP_075388.2	Q7L4I2
NP_075571.1	Q9HC96
NP_076930.1	Q9BV47
NP_001234940.1	Q9BW91
NP_076952.1	Q9BW91
NP_932155.1	Q9BW91
XP_011530334.1	Q9BW91
NP_076982.3	Q96T21
NP_077008.2	Q9BV35
NP_077027.1	Q9BUR5
NP_077282.3	Q7L5A8
NP_077718.3	O75251
NP_077733.3	Q32NB8
NP_078836.1	Q9H6R3
NP_001135751.1	Q5TBB1
NP_078846.2	Q5TBB1
NP_078894.2	Q86UT6
XP_005271726.1	Q86UT6
NP_078937.3	Q96ER9
NP_078954.4	Q96I59
NP_078959.3	Q96QE5
NP_078969.2	Q96DC8
NP_001129673.1	Q96AB3
NP_001129674.1	Q96AB3
NP_078986.1	Q96AB3
NP_079005.3	Q7Z406
NP_001071158.1	Q9H6U8
NP_001071159.1	Q9H6U8
NP_001071160.1	Q9H6U8
NP_079016.2	Q9H6U8
NP_079030.3	Q8WV60
XP_005248660.1	Q8WV60
NP_001165438.1	Q8N0V3
NP_079081.2	Q8N0V3
NP_079140.2	Q6IN84
NP_079236.3	Q9BZ23
NP_079272.4	Q96RP9
NP_001017989.2	Q9H6K4
NP_079412.1	Q9H6K4
NP_001153699.1	Q96JI7
NP_079413.3	Q96JI7
NP_079423.1	Q9H8M1
NP_001258825.1	Q9BW92
NP_079426.2	Q9BW92
NP_001188502.1	Q8TB37
NP_079428.2	Q8TB37
NP_001230181.1	Q9BUP0
NP_079478.1	Q9BUP0
NP_079501.2	Q9NST1
NP_079541.1	Q8NCE0
NP_001164641.1	Q9BQT8
NP_085134.1	Q9BQT8
NP_112202.2	Q9BUE6
NP_112486.1	Q9BXR0
NP_112489.3	Q96A46
NP_113618.2	Q96NA2
NP_113636.2	Q9NSK7
NP_001139523.1	Q3SXM5
NP_113651.4	Q3SXM5
NP_114106.1	Q9BYV1
NP_114108.1	P82675
NP_114127.3	Q5T9A4
NP_115495.3	Q8WXG9
NP_115545.3	Q709F0
NP_115550.2	Q969M1
NP_115649.1	Q9H061
NP_001182751.1	Q6YN16
NP_115679.2	Q6YN16
NP_115685.1	Q9BSY4
XP_005263881.1	Q9BSY4
NP_115692.1	Q9BSH3
NP_115781.1	P57727
NP_115785.1	Q9BXM7
NP_001137246.1	Q96FC7
NP_115815.2	Q96FC7
NP_115867.2	Q96DV4
NP_115967.2	Q86TC9
NP_115970.2	Q9BYI3
NP_116119.2	Q8WWV3
NP_116172.2	Q8N4T8
NP_116199.2	Q8NBU5
XP_005270309.1	Q8NBU5
NP_116205.3	Q96ST8
XP_011525727.1	Q96ST8
NP_116250.3	Q96JX3
NP_149045.3	Q96QU1
NP_060299.4	Q9BXW7
NP_149061.1	Q9BXW7
NP_149078.1	Q9H553
NP_001036182.1	A4D1E9
NP_149098.2	A4D1E9
NP_150229.2	Q96J65
NP_201576.1	Q8N0S6
NP_203524.1	P01116
NP_000179.2	P19367
NP_277031.1	P19367
NP_277032.1	P19367
NP_277033.1	P19367
NP_277035.2	P19367
NP_284941.2	Q8IWA4
NP_001186778.1	P51398
NP_001186779.1	P51398
NP_001186780.1	P51398
NP_004623.1	P51398
NP_387506.1	P51398
XP_005245537.1	P51398
XP_005245538.1	P51398
NP_001092093.2	Q5VST9
NP_443075.3	Q5VST9
NP_443188.2	Q08AH1
NP_001245375.1	Q969P6
NP_001245376.1	Q969P6
NP_443195.1	Q969P6
NP_477352.3	P42356
NP_004367.2	Q7KZN9
NP_510870.1	Q7KZN9
NP_525022.2	Q8IUA7
NP_542197.3	P12107
NP_543022.1	Q96DU9
NP_550438.1	Q16854
NP_550440.1	Q16854
NP_057457.1	Q9NZC7
NP_570607.1	Q9NZC7
NP_056375.2	O60313
NP_570844.1	O60313
NP_570846.1	O60313
NP_570847.2	O60313
NP_570849.2	O60313
NP_570850.2	O60313
NP_000453.2	Q05086
NP_570853.1	Q05086
NP_570854.1	Q05086
NP_596869.4	Q8WZ42
NP_001135938.1	Q8TD30
NP_597700.1	Q8TD30
NP_001122327.1	Q969Y2
NP_001182351.1	Q969Y2
NP_116009.2	Q969Y2
NP_598399.2	Q969Y2
NP_612211.1	Q9Y535
NP_612393.2	Q9BT17
NP_054889.2	Q8N3Z3
NP_612494.1	Q8N3Z3
NP_001164014.1	Q96HS1
NP_612642.2	Q96HS1
NP_001182.1	Q07817
NP_612815.1	Q07817
XP_011527266.1	Q07817
NP_004315.1	Q07812
NP_620116.1	Q07812
NP_620118.1	Q07812
NP_620119.2	Q07812
NP_620124.1	Q8IXI1
NP_620128.1	Q96AG3
NP_001287698.1	Q5VWZ2
NP_001287699.1	Q5VWZ2
NP_001287700.1	Q5VWZ2
NP_001287701.1	Q5VWZ2
NP_620149.2	Q5VWZ2
NP_620172.2	Q8TCU3
NP_000147.1	Q14353
NP_620279.1	Q14353
NP_000401.1	Q30201
NP_620572.1	Q30201
NP_620573.1	Q30201
NP_620575.1	Q30201
NP_620576.1	Q30201
NP_620577.1	Q30201
NP_620578.1	Q30201
NP_620579.1	Q30201
NP_620580.1	Q30201
NP_631917.1	Q96Q83
NP_640335.2	Q96DP5
NP_647480.1	Q8NDX2
NP_001287682.1	Q5VTE6
NP_001287684.1	Q5VTE6
NP_001287686.1	Q5VTE6
NP_001287687.1	Q5VTE6
NP_653168.2	Q5VTE6
NP_653174.3	Q0ZGT2
NP_001153587.1	Q8WUR7
NP_001153588.1	Q8WUR7
NP_653198.2	Q8WUR7
NP_001135747.1	Q7RTP0
NP_653200.2	Q7RTP0
NP_001091972.1	Q8N4Q1
NP_653237.1	Q8N4Q1
NP_653251.2	Q8IWW8
NP_658982.1	Q12951
NP_658985.2	Q8NCW5
NP_001103408.1	Q5SQH8
NP_659466.2	Q5SQH8
NP_660213.1	Q8TCC3
NP_660286.1	Q96E52
NP_660298.2	Q7Z7H8
NP_683685.1	Q7Z7H8
NP_001177162.1	Q96DA6
NP_660304.1	Q96DA6
NP_660320.3	Q6ZVN8
NP_660348.2	Q8WUT9
NP_004882.1	O75394
NP_663303.1	O75394
NP_057706.2	Q9NZE8
NP_663619.1	Q9NZE8
NP_001247440.1	P10620
NP_001247441.1	P10620
NP_001254527.1	P10620
NP_064696.1	P10620
NP_665707.1	P10620
NP_665734.1	P10620
NP_665735.1	P10620
NP_665741.1	Q9BZF2
NP_001124319.1	O95831
NP_004199.1	O95831
NP_665811.1	O95831
NP_057040.2	Q9BYD3
NP_666499.1	Q9BYD3
NP_666500.1	Q9BYD3
NP_004160.3	P34896
NP_683718.1	P34896
NP_001177736.1	P00167
NP_001905.1	P00167
NP_683725.1	P00167
NP_001138606.1	Q92523
NP_001138607.1	Q92523
NP_001138609.1	Q92523
NP_004368.1	Q92523
NP_689451.1	Q92523
NP_689452.1	Q92523
NP_001245366.1	P26639
NP_001245367.1	P26639
NP_689508.3	P26639
NP_001157145.1	Q562E7
NP_001157281.1	Q562E7
NP_001157283.1	Q562E7
NP_689561.2	Q562E7
XP_011521953.1	Q562E7
NP_001129524.1	Q8TCG5
NP_001186681.1	Q8TCG5
NP_001186682.1	Q8TCG5
NP_689572.1	Q8TCG5
XP_005258562.1	Q8TCG5
XP_005258563.1	Q8TCG5
NP_689620.2	Q8TAA5
NP_689629.2	Q330K2
NP_689755.3	Q8N3J5
NP_689771.3	Q6IPM2
NP_001107000.1	A6NJ78
NP_001284704.1	A6NJ78
NP_689849.2	A6NJ78
NP_689991.1	Q8NHS3
XP_005262950.1	Q8NHS3
NP_689996.4	Q8N465
NP_699170.1	Q8N0Z8
NP_001265275.1	Q8IUZ5
NP_699204.1	Q8IUZ5
NP_705690.2	Q86WU2
NP_919417.1	Q86WU2
NP_001268231.1	Q969S9
NP_115756.2	Q969S9
NP_733781.1	Q969S9
NP_733792.1	Q969S9
NP_733821.1	P02545
NP_057134.1	Q9Y3B7
NP_733934.1	Q9Y3B7
NP_733935.1	Q9Y3B7
NP_001071.1	P51649
NP_733936.1	P51649
NP_116246.2	P83111
NP_741982.1	P83111
NP_742105.1	O43526
NP_742107.1	O43526
NP_000061.1	P20807
NP_077320.1	P20807
NP_775110.1	P20807
NP_775111.1	P20807
NP_775112.1	P20807
NP_775113.1	P20807
NP_775771.3	Q6IQ55
NP_001035363.1	Q2T9J0
NP_775826.2	Q2T9J0
NP_775908.2	Q8N5S1
NP_775928.1	Q6P1S2
XP_005247436.1	Q6P1S2
XP_011511013.1	Q6P1S2
NP_001121895.1	Q2QL34
NP_776164.2	Q2QL34
NP_776188.1	Q8N8Q8
NP_776250.2	Q8IWU4
NP_008830.2	O43837
NP_777280.1	O43837
NP_777367.1	P58418
NP_001180304.1	Q86Y39
NP_783313.1	Q86Y39
NP_001137456.1	Q8WUK0
NP_783859.1	Q8WUK0
NP_787103.1	Q8N4Q0
NP_787120.1	Q86SU0
NP_004106.1	Q92915
NP_787125.1	Q92915
NP_115488.2	Q8N983
NP_789762.1	Q8N983
NP_789763.1	Q8N983
NP_789764.1	Q8N983
NP_789765.1	P01112
NP_073750.2	P82912
NP_789775.1	P82912
NP_065142.2	Q9HD33
NP_817125.1	Q9HD33
NP_000546.2	O43602
NP_835364.1	O43602
NP_835365.1	O43602
NP_835366.1	O43602
NP_848026.1	Q86TS9
NP_851313.1	Q86TS9
NP_851821.1	Q86TS9
NP_851822.1	Q86TS9
NP_851823.1	Q86TS9
NP_851824.1	Q86TS9
XP_005267385.1	Q86TS9
NP_000135.2	Q16595
NP_001155178.1	Q16595
NP_852090.1	Q16595
NP_112207.1	Q9BXJ4
NP_852100.3	Q9BXJ4
NP_852126.1	P23760
NP_852615.1	Q7Z2W9
NP_001121185.1	Q8WXF7
NP_056999.2	Q8WXF7
NP_853629.2	Q8WXF7
NP_036226.1	P30044
NP_857634.1	P30044
NP_857635.1	P30044
NP_001230679.1	Q8WV74
NP_862826.1	Q8WV74
NP_009205.3	O00154
NP_863654.1	O00154
NP_863655.1	O00154
NP_863656.1	O00154
NP_000289.1	P30613
NP_870986.1	P30613
NP_872282.1	Q9Y2Z9
NP_872286.2	Q9Y2Z9
NP_872337.2	Q96MU6
NP_057312.1	Q8N5Z0
NP_872603.1	Q8N5Z0
NP_002484.1	O95139
NP_877416.1	O95139
NP_001087240.1	Q16881
NP_001248374.1	Q16881
NP_001248375.1	Q16881
NP_003321.3	Q16881
NP_877393.1	Q16881
NP_877419.1	Q16881
NP_877420.1	Q16881
NP_037415.1	Q9NZL9
NP_877725.1	Q9NZL9
NP_886552.2	Q96Q11
NP_000047.1	P21953
NP_898871.1	P21953
NP_919224.1	Q9HC10
NP_919255.2	Q86U28
NP_055177.2	Q6NVY1
NP_932164.1	Q6NVY1
NP_932173.1	Q14524
NP_932342.1	Q5RI15
NP_937802.1	O75030
NP_004090.4	P27105
NP_937837.1	P27105
NP_001087.2	P53396
NP_942127.1	P53396
XP_005257452.1	P53396
NP_942131.1	Q13085
NP_942133.1	Q13085
NP_942134.1	Q13085
NP_942135.1	Q13085
NP_942136.1	Q13085
NP_951032.1	Q9BU61
NP_000679.1	P13196
NP_954635.1	P13196
NP_001166983.1	Q96E11
NP_620132.1	Q96E11
NP_954646.1	Q96E11
NP_055046.1	P23763
NP_058439.1	P23763
NP_954740.1	P23763
NP_003110.1	Q9UQ90
NP_955399.1	Q9UQ90
NP_055761.2	Q9UBP0
NP_955468.1	Q9UBP0
NP_001186463.1	Q9BUV8
NP_061328.1	Q9BUV8
NP_955777.1	Q9BUV8
NP_957705.1	P82279
NP_001171820.1	Q8NFF5
NP_001171821.1	Q8NFF5
NP_079483.3	Q8NFF5
NP_958800.1	Q8NFF5
NP_958928.1	Q3KQZ1
NP_005613.2	Q53FZ2
NP_973729.1	Q53FZ2
NP_057318.2	Q9ULC5
NP_976313.1	Q9ULC5
NP_976314.1	Q9ULC5
NP_000158.1	P32189
NP_001121599.1	P32189
NP_001191948.1	P32189
NP_976325.1	P32189
NP_001229942.1	Q9NP78
NP_001229943.1	Q9NP78
NP_062570.1	Q9NP78
NP_062571.1	Q9NP78
NP_982269.2	Q9NP78
XP_011536397.1	Q9NP78
XP_011536398.1	Q9NP78
NP_996531.1	Q8N0X4
NP_997229.2	Q7Z6J9
NP_997717.2	Q53S33
NP_002626.1	Q00325
NP_005879.1	Q00325
NP_998776.1	Q00325
NP_998814.1	Q6P4A7
XP_005269583.1	Q6P4A7
XP_005269584.1	Q6P4A7
NP_999627.2	Q5SW24
NP_057313.2	Q6BCY4
XP_005253032.1	Q6BCY4
NP_056481.1	Q9H4K7
XP_005260450.1	Q9H4K7
NP_079160.1	Q9H9P8
XP_005268132.1	Q9H9P8
NP_852106.1	Q7Z7F7
NP_852119.1	Q7Z7F7
NP_852120.1	Q7Z7F7
NP_852121.1	Q7Z7F7
NP_852127.2	Q7Z7F7
NP_852128.1	Q7Z7F7
NP_852129.1	Q7Z7F7
NP_852130.1	Q7Z7F7
XP_005273116.1	Q7Z7F7
XP_005273118.1	Q7Z7F7
XP_005273119.1	Q7Z7F7
XP_005273120.1	Q7Z7F7
XP_005274249.1	O15020
XP_005274250.1	O15020
NP_001263990.1	Q9GZY8
NP_001263991.1	Q9GZY8
NP_001263992.1	Q9GZY8
NP_001263993.1	Q9GZY8
NP_001263994.1	Q9GZY8
NP_001263995.1	Q9GZY8
NP_001263996.1	Q9GZY8
NP_001263997.1	Q9GZY8
NP_064579.3	Q9GZY8
XP_006712701.1	Q9GZY8
XP_006712702.1	Q9GZY8
XP_011509802.1	Q9GZY8
NP_001035994.1	Q13057
NP_001035997.2	Q13057
NP_079509.5	Q13057
XP_006722179.1	Q13057
XP_011523602.1	Q13057
NP_001186976.1	Q96T66
NP_835471.1	Q96T66
XP_011511092.1	Q96T66
XP_011511093.1	Q96T66
NP_001273425.1	Q9H611
NP_001273426.1	Q9H611
NP_001273428.1	Q9H611
NP_079325.2	Q9H611
XP_011520385.1	Q9H611
XP_011520386.1	Q9H611
NP_001278500.1	Q14596
NP_001278501.1	Q14596
NP_005890.2	Q14596
NP_114068.1	Q14596
XP_011523115.1	Q14596
NP_001055.1	P29401
NP_001128527.1	P29401
NP_001244957.1	P29401
XP_011532356.1	P29401
NP_001274511.1	P30307
NP_001781.2	P30307
NP_073720.1	P30307
XP_011542064.1	P30307
NP_001186588.1	Q2VYF4
NP_001273748.1	Q2VYF4
NP_653253.1	Q2VYF4
XP_011542708.1	Q2VYF4
XP_011542709.1	Q2VYF4
XP_011542712.1	Q2VYF4
NP_000007.1	A0A0S2Z366
NP_000008.1	E5KSD5
NP_000008.1	P16219
NP_000010.1	A0A140VJX1
NP_000015.1	P07550
NP_000015.1	X5DQM5
NP_000016.1	A8KAG8
NP_000016.1	P13945
NP_000017.1	X5D8S6
NP_000021.1	P21549
NP_000024.2	P33897
NP_000042.3	A0A024R3C7
NP_000042.3	Q13315
NP_000050.2	P51587
NP_000051.1	P43251
NP_000083.3	P53420
NP_000089.1	A0A140VK13
NP_000089.1	P23786
NP_000092.2	B4DT46
NP_000092.2	P13498
NP_000099.2	A0A024R713
NP_000107.1	A0A0S2Z4K0
NP_000117.1	A0A0S2Z3L0
NP_000133.1	Q0IJ44
NP_000134.2	A0A0S2Z4C3
NP_000135.2	A0A0S2Z3G4
NP_000137.2	A0A384MDR3
NP_000137.2	P02792
NP_000144.2	A0A0A0MQV0
NP_000147.1	V9HWB2
NP_000150.1	A0A024R7F9
NP_000151.1	P47871
NP_000153.1	Q53Y25
NP_000160.1	P06280
NP_000160.1	Q53Y83
NP_000161.2	P23378
NP_000171.1	Q02846
NP_000173.2	E9KL44
NP_000179.2	A8K7J7
NP_000179.2	Q59FD4
NP_000180.2	P52789
NP_000198.1	I3WAC9
NP_000200.1	P52945
NP_000209.2	Q96AI9
NP_000210.2	C7S316
NP_000210.2	P15382
NP_000210.2	Q6FHJ6
NP_000227.2	A6H8L5
NP_000227.2	P11150
NP_000229.1	A0A090N8Q0
