NCBI_Protein_ID_uniprot_ids_984.txt NCBI_Protein_ID_uniprot_ids_5778.txt
NP_001257655.1	A0A087WX97
NP_060592.2	Q6PI48
NP_001139748.1	Q6PIU2
NP_001139749.1	Q6PIU2
NP_001139750.1	Q6PIU2
NP_065843.3	Q6PIU2
NP_006336.3	Q6PML9
NP_001229696.1	Q6UB35
NP_001229697.1	Q6UB35
NP_001229698.1	Q6UB35
NP_056255.2	Q6UB35
NP_001138888.1	Q6UW68
NP_212133.1	Q6UW68
NP_940938.1	Q6UW68
XP_005259956.1	Q6UW68
NP_001096616.1	Q6Y7W6
NP_001182751.1	Q6YN16
NP_115679.2	Q6YN16
NP_001265552.1	Q6ZNB6
NP_001265553.1	Q6ZNB6
NP_694540.3	Q6ZNB6
NP_115545.3	Q709F0
NP_001158268.1	Q70HW3
NP_057696.2	Q71JB2
NP_055205.2	Q7KZF4
NP_004367.2	Q7KZN9
NP_510870.1	Q7KZN9
NP_060289.2	Q7L0Y3
NP_055781.2	Q7L2E3
NP_619520.1	Q7L2E3
XP_011531796.1	Q7L2E3
XP_011531797.1	Q7L2E3
NP_075388.2	Q7L4I2
NP_077282.3	Q7L5A8
NP_068598.1	Q7L8L6
NP_852615.1	Q7Z2W9
NP_001095836.1	Q7Z3D6
NP_001095837.1	Q7Z3D6
NP_001095838.1	Q7Z3D6
NP_001095839.1	Q7Z3D6
NP_079228.4	Q7Z3D6
NP_079005.3	Q7Z406
NP_061903.2	Q7Z478
NP_057147.2	Q7Z4H3
NP_001182147.1	Q7Z4W1
NP_057370.1	Q7Z4W1
NP_443085.2	Q7Z695
NP_997229.2	Q7Z6J9
NP_852106.1	Q7Z7F7
NP_852119.1	Q7Z7F7
NP_852120.1	Q7Z7F7
NP_852121.1	Q7Z7F7
NP_852127.2	Q7Z7F7
NP_852128.1	Q7Z7F7
NP_852129.1	Q7Z7F7
NP_852130.1	Q7Z7F7
XP_005273116.1	Q7Z7F7
XP_005273118.1	Q7Z7F7
XP_005273119.1	Q7Z7F7
XP_005273120.1	Q7Z7F7
NP_660298.2	Q7Z7H8
NP_683685.1	Q7Z7H8
NP_057501.2	Q86SX6
NP_115967.2	Q86TC9
NP_848026.1	Q86TS9
NP_851313.1	Q86TS9
NP_851821.1	Q86TS9
NP_851822.1	Q86TS9
NP_851823.1	Q86TS9
NP_851824.1	Q86TS9
XP_005267385.1	Q86TS9
NP_919255.2	Q86U28
NP_689914.3	Q86UQ4
NP_078894.2	Q86UT6
XP_005271726.1	Q86UT6
NP_001026871.1	Q86UY8
NP_848621.2	Q86VD7
XP_005259918.1	Q86VD7
NP_859065.2	Q86VQ0
NP_653190.2	Q86VU5
NP_004323.2	Q86WA6
NP_001287877.1	Q86WA8
NP_113678.2	Q86WA8
NP_001180304.1	Q86Y39
NP_783313.1	Q86Y39
NP_065114.3	Q86YH6
NP_001180467.1	Q8IUX1
NP_001243475.1	Q8IUX1
NP_060950.3	Q8IUX1
NP_001265275.1	Q8IUZ5
NP_699204.1	Q8IUZ5
NP_776155.1	Q8IVP5
NP_055322.1	Q8IVS2
NP_775738.3	Q8IVS2
NP_001138423.1	Q8IVS8
NP_660305.2	Q8IVS8
NP_284941.2	Q8IWA4
NP_776250.2	Q8IWU4
NP_620124.1	Q8IXI1
NP_001028738.1	Q8IXI2
NP_001028740.1	Q8IXI2
NP_060777.3	Q8IXI2
NP_115866.1	Q8IXM3
NP_003162.2	Q8IYB8
NP_005461.2	Q8IZP0
NP_001135766.1	Q8N0X7
NP_001135767.1	Q8N0X7
NP_001135768.1	Q8N0X7
NP_055902.1	Q8N0X7
NP_699170.1	Q8N0Z8
NP_777549.1	Q8N183
NP_787071.2	Q8N196
NP_001163894.1	Q8N3Z0
NP_699193.2	Q8N3Z0
NP_068746.2	Q8N442
NP_001070867.1	Q8N490
NP_056303.3	Q8N490
NP_072094.1	Q8N490
NP_001001790.1	Q8N4H5
NP_001127956.1	Q8N4H5
NP_001127957.1	Q8N4H5
NP_001091972.1	Q8N4Q1
NP_653237.1	Q8N4Q1
NP_001185461.1	Q8N573
NP_001185462.1	Q8N573
NP_001185463.1	Q8N573
NP_001185464.1	Q8N573
NP_060472.2	Q8N573
NP_851999.2	Q8N573
NP_001008389.1	Q8N5K1
NP_061924.1	Q8N5N7
NP_001034444.1	Q8N8R3
NP_115488.2	Q8N983
NP_789762.1	Q8N983
NP_789763.1	Q8N983
NP_789764.1	Q8N983
NP_001139443.1	Q8NBN7
NP_612421.1	Q8NBN7
XP_005258530.1	Q8NBN7
NP_116199.2	Q8NBU5
XP_005270309.1	Q8NBU5
NP_057086.2	Q8NBX0
NP_001240804.1	Q8NBZ7
NP_001240805.1	Q8NBZ7
NP_079352.2	Q8NBZ7
NP_658985.2	Q8NCW5
NP_001171820.1	Q8NFF5
NP_001171821.1	Q8NFF5
NP_079483.3	Q8NFF5
NP_958800.1	Q8NFF5
NP_064632.2	Q8NI60
XP_005273258.1	Q8NI60
NP_443082.2	Q8TAE8
NP_872354.1	Q8TAF8
NP_002282.2	Q8TAS6
NP_001035808.1	Q8TB36
NP_061845.2	Q8TB36
NP_001188502.1	Q8TB37
NP_079428.2	Q8TB37
NP_061331.2	Q8TBP6
NP_001239579.1	Q8TC12
NP_057110.3	Q8TC12
NP_620172.2	Q8TCU3
NP_653180.1	Q8TD22
NP_116012.2	Q8TDB4
NP_057090.2	Q8WTS1
NP_061184.1	Q8WTW3
NP_064629.2	Q8WUD6
NP_001137456.1	Q8WUK0
NP_783859.1	Q8WUK0
NP_066990.3	Q8WUU5
NP_660358.2	Q8WV93
NP_001122103.1	Q8WVC6
NP_079095.3	Q8WVC6
NP_057104.2	Q8WVM0
NP_078796.2	Q8WWC4
NP_001121185.1	Q8WXF7
NP_056999.2	Q8WXF7
NP_853629.2	Q8WXF7
NP_596869.4	Q8WZ42
NP_055899.2	Q92552
NP_000328.2	Q92629
NP_001121681.1	Q92629
NP_758447.1	Q92629
XP_005266023.1	Q92629
NP_005821.2	Q92665
NP_001229831.1	Q92667
NP_001229832.1	Q92667
NP_003479.1	Q92667
NP_001006942.1	Q92685
NP_005778.1	Q92685
NP_001186768.1	Q92843
NP_004041.1	Q92843
NP_057614.1	Q92930
NP_004313.1	Q92934
NP_116784.1	Q92934
NP_000150.1	Q92947
NP_039663.1	Q92947
NP_005111.2	Q93074
NP_060809.3	Q969G6
NP_001026847.1	Q969Q5
NP_570137.2	Q969Q5
NP_004740.2	Q969Z0
NP_112162.1	Q969Z0
NP_078816.2	Q96A35
NP_663781.1	Q96A35
NP_443091.1	Q96AA3
NP_001129673.1	Q96AB3
NP_001129674.1	Q96AB3
NP_078986.1	Q96AB3
NP_065109.1	Q96AD5
NP_620128.1	Q96AG3
NP_060743.2	Q96AN5
NP_068758.3	Q96AY3
NP_001127965.1	Q96B49
NP_976043.1	Q96BP2
NP_001265855.1	Q96BP3
NP_001265856.1	Q96BP3
NP_001265858.1	Q96BP3
NP_056157.1	Q96BP3
NP_660308.1	Q96BQ5
NP_075565.2	Q96BR5
NP_001258610.1	Q96C36
NP_037460.2	Q96C36
NP_001138299.1	Q96CM3
NP_116184.2	Q96CM3
NP_060017.1	Q96CU9
NP_001136027.1	Q96D53
NP_079152.3	Q96D53
NP_001177162.1	Q96DA6
NP_660304.1	Q96DA6
NP_078969.2	Q96DC8
NP_640335.2	Q96DP5
NP_543022.1	Q96DU9
NP_115867.2	Q96DV4
NP_060345.2	Q96DW6
NP_001166983.1	Q96E11
NP_620132.1	Q96E11
NP_954646.1	Q96E11
NP_057026.3	Q96E29
NP_660286.1	Q96E52
NP_114403.1	Q96EL2
NP_444278.1	Q96EL3
NP_001128582.1	Q96EY1
NP_005138.3	Q96EY1
NP_060422.4	Q96EY7
NP_443077.1	Q96EY8
NP_612441.1	Q96GA7
XP_005253888.1	Q96GA7
NP_057139.1	Q96GC5
NP_057128.2	Q96GK7
NP_612390.1	Q96HP4
NP_001164014.1	Q96HS1
NP_612642.2	Q96HS1
NP_116295.1	Q96I23
NP_078954.4	Q96I59
NP_001171070.1	Q96I99
NP_003839.2	Q96I99
NP_001138765.1	Q96IV0
NP_001138766.1	Q96IV0
NP_001138767.1	Q96IV0
NP_060767.2	Q96IV0
NP_001193355.1	Q96IX5
NP_001193356.1	Q96IX5
NP_116136.1	Q96IX5
NP_001153699.1	Q96JI7
NP_079413.3	Q96JI7
NP_065099.3	Q96KN7
NP_001129522.1	Q96LJ7
NP_612461.1	Q96LJ7
NP_115758.3	Q96MW5
NP_113618.2	Q96NA2
NP_849189.1	Q96NB2
NP_689656.2	Q96NR8
NP_886552.2	Q96Q11
NP_078959.3	Q96QE5
NP_079272.4	Q96RP9
NP_064551.3	Q96RQ3
NP_001244946.1	Q96RQ9
NP_001157284.1	Q96RR1
NP_068602.2	Q96RR1
NP_116205.3	Q96ST8
XP_011525727.1	Q96ST8
NP_076982.3	Q96T21
NP_009185.2	Q96T60
NP_001240795.1	Q96TA2
NP_055078.1	Q96TA2
NP_647473.1	Q96TA2
NP_001116849.1	Q99497
NP_009193.2	Q99497
NP_006326.1	Q99595
NP_001138303.1	Q99623
NP_001254629.1	Q99623
NP_004194.3	Q99640
NP_001030588.1	Q99643
NP_001030589.1	Q99643
NP_001030590.1	Q99643
NP_002992.1	Q99643
NP_002964.3	Q99700
NP_001032900.1	Q99714
NP_004484.1	Q99714
NP_005923.2	Q99797
NP_001009570.1	Q99832
NP_001159756.1	Q99832
NP_001159757.1	Q99832
NP_006420.1	Q99832
NP_003375.1	Q99986
NP_001189431.1	Q9BPW8
NP_003625.2	Q9BPW8
NP_076426.1	Q9BQ48
NP_001159434.1	Q9BQ52
NP_060597.4	Q9BQ52
NP_776065.1	Q9BQ52
NP_001135936.1	Q9BQ95
NP_001135937.1	Q9BQ95
NP_001230133.1	Q9BQ95
NP_057665.2	Q9BQ95
NP_076931.1	Q9BQC6
NP_443097.1	Q9BQP7
NP_001164641.1	Q9BQT8
NP_085134.1	Q9BQT8
NP_115719.1	Q9BRQ6
NP_001185625.1	Q9BRQ8
NP_116186.1	Q9BRQ8
NP_612367.1	Q9BSF4
NP_115691.1	Q9BSK2
NP_115685.1	Q9BSY4
XP_005263881.1	Q9BSY4
NP_061982.3	Q9BT22
NP_001137324.1	Q9BT92
NP_115676.1	Q9BT92
XP_011537138.1	Q9BT92
XP_011537139.1	Q9BT92
NP_951032.1	Q9BU61
NP_001035703.1	Q9BUB7
NP_060336.3	Q9BUB7
NP_112202.2	Q9BUE6
NP_060586.2	Q9BUK6
NP_001230181.1	Q9BUP0
NP_079478.1	Q9BUP0
NP_001091990.1	Q9BUP3
NP_001091991.1	Q9BUP3
NP_001091992.1	Q9BUP3
NP_001091993.1	Q9BUP3
NP_006401.3	Q9BUP3
NP_001186463.1	Q9BUV8
NP_061328.1	Q9BUV8
NP_955777.1	Q9BUV8
NP_077008.2	Q9BV35
NP_076930.1	Q9BV47
XP_005245944.1	Q9BV79
NP_001007028.1	Q9BVK2
NP_076984.2	Q9BVK2
NP_620175.1	Q9BW72
NP_001258825.1	Q9BW92
NP_079426.2	Q9BW92
NP_076423.2	Q9BWH2
NP_112233.2	Q9BWM7
NP_115982.1	Q9BX68
NP_056285.1	Q9BXF6
NP_001257658.1	Q9BXK5
NP_001257659.1	Q9BXK5
NP_001257660.1	Q9BXK5
NP_056182.2	Q9BXK5
NP_115785.1	Q9BXM7
NP_112486.1	Q9BXR0
NP_065894.2	Q9BY12
NP_114109.1	Q9BYC8
NP_060441.2	Q9BYC9
NP_054797.2	Q9BYD1
NP_113608.1	Q9BYD2
NP_057040.2	Q9BYD3
NP_666499.1	Q9BYD3
NP_666500.1	Q9BYD3
NP_064621.3	Q9BYD6
NP_115970.2	Q9BYI3
NP_110438.1	Q9BYN8
NP_057575.2	Q9BZE1
NP_665741.1	Q9BZF2
NP_001137252.1	Q9BZJ4
NP_057100.1	Q9BZJ4
NP_001073901.1	Q9C0B1
NP_068597.2	Q9GZT6
XP_005274216.1	Q9GZT6
NP_001129511.1	Q9GZT8
NP_001135827.1	Q9GZT8
NP_001135828.1	Q9GZT8
NP_068596.2	Q9GZT8
NP_001263990.1	Q9GZY8
NP_001263991.1	Q9GZY8
NP_001263992.1	Q9GZY8
NP_001263993.1	Q9GZY8
NP_001263994.1	Q9GZY8
NP_001263995.1	Q9GZY8
NP_001263996.1	Q9GZY8
NP_001263997.1	Q9GZY8
NP_064579.3	Q9GZY8
XP_006712701.1	Q9GZY8
XP_006712702.1	Q9GZY8
XP_011509802.1	Q9GZY8
NP_001093095.1	Q9H019
NP_001093096.1	Q9H019
NP_001093097.1	Q9H019
NP_062457.3	Q9H019
NP_115649.1	Q9H061
NP_001245321.1	Q9H078
NP_001245322.1	Q9H078
NP_001245323.1	Q9H078
NP_110440.1	Q9H078
NP_112581.1	Q9H0C2
NP_115527.3	Q9H0N5
NP_060762.3	Q9H0R6
NP_112243.1	Q9H0U4
NP_054880.2	Q9H0U6
NP_055116.1	Q9H1K1
NP_998760.1	Q9H1K1
NP_113669.1	Q9H1K4
NP_001034230.1	Q9H2D6
NP_001159733.1	Q9H2K0
NP_001159734.1	Q9H2K0
NP_001159735.1	Q9H2K0
NP_690876.3	Q9H2K0
NP_008834.3	Q9H2U2
NP_789842.2	Q9H2U2
NP_789843.2	Q9H2U2
NP_789845.1	Q9H2U2
NP_071446.2	Q9H2W6
NP_001032728.1	Q9H300
NP_061092.3	Q9H300
NP_055209.2	Q9H3K2
NP_056517.1	Q9H3L0
NP_071413.1	Q9H4A6
NP_149078.1	Q9H553
NP_071761.1	Q9H5Q4
NP_001017989.2	Q9H6K4
NP_079412.1	Q9H6K4
NP_001071158.1	Q9H6U8
NP_001071159.1	Q9H6U8
NP_001071160.1	Q9H6U8
NP_079016.2	Q9H6U8
NP_056343.1	Q9H6Y7
NP_001243264.1	Q9H7Z7
NP_079348.1	Q9H7Z7
NP_945176.1	Q9H7Z7
NP_054768.2	Q9H845
NP_001127703.1	Q9H857
NP_075059.1	Q9H857
XP_005265463.1	Q9H857
XP_006713368.1	Q9H857
NP_001177989.1	Q9H936
NP_001177990.1	Q9H936
NP_078974.1	Q9H936
NP_073591.2	Q9H9B4
NP_075066.1	Q9H9J2
NP_060816.1	Q9HA92
NP_073624.2	Q9HAN9
NP_079472.1	Q9HAV7
NP_067653.3	Q9HB07
NP_065956.1	Q9HBH5
NP_065733.2	Q9HBK9
NP_001119593.1	Q9HC21
NP_001119594.1	Q9HC21
NP_068380.3	Q9HC21
NP_001269535.1	Q9HC24
NP_001269538.1	Q9HC24
NP_001269539.1	Q9HC24
NP_057140.2	Q9HC24
NP_060616.1	Q9HC36
NP_071415.1	Q9HCC0
XP_005248624.1	Q9HCC0
NP_065142.2	Q9HD33
NP_817125.1	Q9HD33
NP_058651.3	Q9HD40
NP_005680.1	Q9NP58
NP_001242936.1	Q9NP80
NP_001242937.1	Q9NP80
NP_001242938.1	Q9NP80
NP_001242939.1	Q9NP80
NP_001242940.1	Q9NP80
NP_056538.1	Q9NP80
XP_005250453.1	Q9NP80
NP_001139373.1	Q9NP81
NP_060297.1	Q9NP81
NP_057724.2	Q9NP92
NP_064586.1	Q9NPB1
NP_001028260.2	Q9NPE2
NP_057673.2	Q9NPL8
NP_003767.2	Q9NQ50
NP_612638.3	Q9NQE9
NP_071381.1	Q9NQH7
NP_064587.1	Q9NQR4
NP_057126.2	Q9NQT5
NP_064536.2	Q9NQZ5
NP_001265231.1	Q9NR28
NP_001265232.1	Q9NR28
NP_001265233.1	Q9NR28
NP_001265271.1	Q9NR28
NP_063940.1	Q9NR28
NP_620308.1	Q9NR28
NP_001034672.1	Q9NRD5
NP_001034673.1	Q9NRD5
NP_036539.1	Q9NRD5
NP_001137474.1	Q9NRF8
NP_062831.3	Q9NRF8
NP_787055.1	Q9NRF8
NP_036221.2	Q9NRK6
NP_057071.2	Q9NRV9
NP_071344.1	Q9NRX2
NP_064628.1	Q9NS69
NP_060530.3	Q9NSE4
NP_113636.2	Q9NSK7
NP_001017524.1	Q9NTG7
NP_036371.1	Q9NTG7
NP_057044.2	Q9NTM9
NP_001002030.1	Q9NTX5
NP_001099014.1	Q9NTX5
NP_001099015.1	Q9NTX5
NP_001132982.1	Q9NTX5
NP_060949.2	Q9NTX5
XP_005267104.1	Q9NTX5
XP_005267105.1	Q9NTX5
XP_005267107.1	Q9NTX5
NP_001258998.1	Q9NUJ1
NP_060864.1	Q9NUJ1
NP_060850.2	Q9NUL7
NP_060838.3	Q9NUN5
NP_060831.2	Q9NUQ2
NP_009119.2	Q9NUT2
NP_060668.2	Q9NVH1
NP_060663.2	Q9NVI1
NP_001164006.1	Q9NVI7
NP_001164007.1	Q9NVI7
NP_060658.3	Q9NVI7
NP_001180272.1	Q9NVS2
NP_060605.1	Q9NVS2
NP_060579.3	Q9NVV4
NP_060388.2	Q9NWR8
NP_001258866.1	Q9NWS8
NP_060379.2	Q9NWS8
XP_005267097.1	Q9NWS8
NP_001120701.1	Q9NWT8
NP_001120702.1	Q9NWT8
NP_060370.1	Q9NWT8
NP_001138863.1	Q9NWU1
NP_060367.1	Q9NWU1
NP_001014990.1	Q9NWU5
NP_054899.2	Q9NWU5
NP_060352.1	Q9NWW5
NP_060342.2	Q9NWX6
NP_060324.1	Q9NX00
NP_001129470.1	Q9NX14
NP_061929.2	Q9NX14
NP_060310.1	Q9NX20
NP_001073308.1	Q9NX40
NP_001073309.1	Q9NX40
NP_001073310.1	Q9NX40
NP_001073311.2	Q9NX40
NP_060300.1	Q9NX40
NP_060294.1	Q9NX47
NP_060282.1	Q9NX63
NP_001258691.1	Q9NX74
NP_001258692.1	Q9NX74
NP_060273.1	Q9NX74
NP_001180196.1	Q9NXA8
NP_001229756.1	Q9NXA8
NP_036373.1	Q9NXA8
NP_112534.1	Q9NXA8
XP_005249025.1	Q9NXA8
NP_001129507.1	Q9NXH9
NP_001136026.1	Q9NXH9
NP_060192.1	Q9NXH9
NP_059142.2	Q9NYK5
NP_542984.2	Q9NYK5
NP_057611.1	Q9NYQ3
NP_001129665.1	Q9NYY8
NP_001129666.1	Q9NYY8
NP_055744.2	Q9NYY8
NP_057457.1	Q9NZC7
NP_570607.1	Q9NZC7
NP_057706.2	Q9NZE8
NP_663619.1	Q9NZE8
NP_004827.4	Q9NZJ5
NP_001258570.1	Q9NZJ7
NP_055156.1	Q9NZJ7
NP_037415.1	Q9NZL9
NP_877725.1	Q9NZL9
NP_054894.1	Q9P015
NP_054884.1	Q9P032
NP_057049.5	Q9P0J0
NP_001155251.1	Q9P0J1
NP_001155252.1	Q9P0J1
NP_001155253.1	Q9P0J1
NP_060914.2	Q9P0J1
NP_115868.1	Q9P0J6
NP_057588.1	Q9P0M9
NP_060888.2	Q9P0W8
NP_056219.3	Q9P202
NP_065870.3	Q9P2D6
NP_064502.9	Q9P2J5
NP_003841.1	Q9P2R7
NP_061846.2	Q9P2X0
NP_714963.1	Q9P2X0
NP_001161093.1	Q9UBB4
NP_037368.1	Q9UBB4
NP_055761.2	Q9UBP0
NP_955468.1	Q9UBP0
NP_001257817.1	Q9UBX3
NP_001257882.1	Q9UBX3
NP_036272.2	Q9UBX3
NP_005754.2	Q9UDR5
NP_001003684.1	Q9UDW1
NP_037519.2	Q9UDW1
NP_056284.1	Q9UFN0
NP_005683.2	Q9UG63
NP_009120.1	Q9UG63
NP_057327.2	Q9UHQ9
NP_001245267.1	Q9UI09
NP_061326.1	Q9UI09
NP_057395.1	Q9UII2
NP_835497.1	Q9UII2
NP_835498.1	Q9UII2
NP_001186781.1	Q9UIJ7
NP_001186782.1	Q9UIJ7
NP_001186784.1	Q9UIJ7
NP_001186785.1	Q9UIJ7
NP_057366.2	Q9UIJ7
NP_001153682.1	Q9UJS0
NP_055066.1	Q9UJS0
NP_038470.1	Q9UJZ1
NP_036292.2	Q9UKA2
NP_054861.2	Q9UKK9
NP_001009185.1	Q9UKU0
NP_001192176.1	Q9UKU0
NP_001192177.1	Q9UKU0
NP_001192179.1	Q9UKU0
NP_001192180.1	Q9UKU0
NP_056071.2	Q9UKU0
NP_057318.2	Q9ULC5
NP_976313.1	Q9ULC5
NP_976314.1	Q9ULC5
NP_004990.3	Q9UM54
NP_001002755.1	Q9UMS0
NP_001002756.1	Q9UMS0
NP_056515.2	Q9UMS0
NP_001171899.1	Q9UNF0
NP_001171900.1	Q9UNF0
NP_009160.2	Q9UNF0
NP_003110.1	Q9UQ90
NP_955399.1	Q9UQ90
NP_005447.1	Q9UQF2
NP_001093138.1	Q9Y241
NP_001093139.1	Q9Y241
NP_054775.2	Q9Y241
NP_001073335.1	Q9Y276
NP_004319.1	Q9Y276
NP_001129166.1	Q9Y277
NP_005653.3	Q9Y277
NP_057155.1	Q9Y291
NP_444263.1	Q9Y291
NP_001137151.1	Q9Y2Q3
NP_001137152.1	Q9Y2Q3
NP_001137153.1	Q9Y2Q3
NP_057001.1	Q9Y2Q3
NP_054737.1	Q9Y2Q9
NP_001035521.1	Q9Y2R0
NP_057053.1	Q9Y2R5
NP_057055.2	Q9Y2R9
NP_056399.1	Q9Y2S7
NP_001116698.1	Q9Y2Z2
NP_036255.2	Q9Y2Z2
NP_598400.1	Q9Y2Z2
NP_001035526.1	Q9Y2Z4
NP_001028755.2	Q9Y305
NP_001032248.1	Q9Y305
NP_057097.2	Q9Y375
NP_057118.1	Q9Y399
NP_057134.1	Q9Y3B7
NP_733934.1	Q9Y3B7
NP_733935.1	Q9Y3B7
NP_056338.2	Q9Y3B8
NP_057149.1	Q9Y3D3
NP_057151.1	Q9Y3D5
NP_057152.2	Q9Y3D6
NP_057154.2	Q9Y3D9
NP_057158.1	Q9Y3E2
NP_057161.1	Q9Y3E5
NP_056289.2	Q9Y3Z3
XP_005260441.1	Q9Y3Z3
NP_009006.2	Q9Y484
NP_006787.2	Q9Y4W6
NP_056195.3	Q9Y512
NP_036592.1	Q9Y5J7
NP_036591.2	Q9Y5J9
NP_036590.1	Q9Y5L4
NP_057257.1	Q9Y5R4
NP_001002019.1	Q9Y606
NP_001002020.1	Q9Y606
NP_079491.2	Q9Y606
NP_037471.2	Q9Y672
NP_054765.1	Q9Y676
NP_039234.1	Q9Y696
NP_001185918.1	Q9Y697
NP_066923.3	Q9Y697
NP_055157.1	Q9Y6C9
NP_054769.1	Q9Y6G3
NP_751917.1	Q9Y6G3
NP_057223.1	Q9Y6H1
NP_006539.3	Q9Y6M1
NP_004996.1	Q9Y6M9
NP_004366.1	Q9Y6N1
NP_001258142.1	Q9Y6N5
NP_067022.1	Q9Y6N5
NP_005700.2	Q9Y6N9
NP_570853.1	Q05086-2
NP_570854.1	Q05086-3
